id,name,slug,url,description,emails,email,phone,address,contacts_raw,categories,socials,website,instagram,facebook,twitter,linkedin
7598e39a-c5dd-4316-90c0-ace7e311d952,021,021,https://msu.campuslabs.com/engage/organization/021,"A group of passionate builders who spend their nights and weekends building cool stuff. + we have pizza. Contact Information Address 308 E Michigan Ave Apt 108 East Lansing, MI 48823 United States Contact Email E: 021.msu.builders@gmail.com Phone Number P: 7138944935",021.msu.builders@gmail.com,021.msu.builders@gmail.com,7138944935,,,,"{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""website"": ""https://021.builders/""}",https://021.builders/,,,,
e647fbfa-74a5-4ec3-80ac-7688e4172e6d,180 Degrees Consulting MSU,180,https://msu.campuslabs.com/engage/organization/180,180 Degrees Consulting is the world's largest consultancy for non-profits & social enterprises. We provide high-quality consulting services to social impact organizations so they can improve and expand their services. Contact Information Address Contact Email E: msu@180dc.org,msu@180dc.org,msu@180dc.org,,,,,"{""instagram"": ""https://www.instagram.com/msu180dc/"", ""facebook"": null, ""twitter"": null, ""linkedin"": ""https://www.linkedin.com/company/180-degrees-consulting-michigan-state-university/"", ""website"": ""https://180dcmichstate.com""}",https://180dcmichstate.com,https://www.instagram.com/msu180dc/,,,https://www.linkedin.com/company/180-degrees-consulting-michigan-state-university/
f96d197b-6d8f-4128-9db1-bdcd06196ebf,For Michigan,4michmsu,https://msu.campuslabs.com/engage/organization/4michmsu,Contact Information Address Contact Email E: edward@4mich.org,edward@4mich.org,edward@4mich.org,,,,,"{""instagram"": null, ""facebook"": null, ""twitter"": ""https://twitter.com/@4mich024"", ""linkedin"": null, ""website"": ""http://www.4mich.org/Michigan-State-University""}",http://www.4mich.org/Michigan-State-University,,,https://twitter.com/@4mich024,
8b3b8588-a09d-4504-acd9-41df7b039782,Black Celebratory,aac,https://msu.campuslabs.com/engage/organization/aac,"A young group of African American students led by Michael Oden decided it was time to recognize and celebrate the achievements of other black students on campus. With the support of the Black Student Alliance, as well as black faculty and staff, they founded the Black Celebratory formerly known as African American Celebratory. Black Celebratory is known for hosting the traditional cultural event of Black Graduation on Michigan State University's campus. Black Celebratory received both local and national support for acknowledging the accomplishments of black students in its first active year. However, with support came criticism. Nevertheless, the organization continues to productively celebrate the graduation of black students. Over the years, the goals of the MSUBC have expanded to include community outreach and service learning engagement. Black Graduation is a ceremony focused around Michigan State University’s Black student’s accomplishment of successfully completing an undergraduate, graduate, or doctoral degree from Michigan State University. Black Graduation represents the culture of our students, support of our communities, and excellence in scholarship. A cultural rite of passage that acknowledges all prospective graduates and in no way is a replacement ceremony to Michigan State’s yearly commencement. While sharing in the values of scholarship, community, integrity, and black excellence in all student experiences; Black Grad concludes each ceremony with a Kente-Stole accolade dedicated to the current class of graduates from Michigan State University Contact Information Address Contact Email E: rso.aac@msu.edu",rso.aac@msu.edu,rso.aac@msu.edu,,,,,"{""instagram"": ""https://www.instagram.com/msu_bc/"", ""facebook"": null, ""twitter"": null, ""linkedin"": ""https://www.linkedin.com/in/black-celebratory-87ab27295/"", ""website"": ""https://msublackcelebratory.weebly.com/about.html""}",https://msublackcelebratory.weebly.com/about.html,https://www.instagram.com/msu_bc/,,,https://www.linkedin.com/in/black-celebratory-87ab27295/
6c37b2a0-c486-4367-b779-5f07296294b9,"American Advertising Federation, MSU Chapter",aafmsu,https://msu.campuslabs.com/engage/organization/aafmsu,"Every year, we receive a new corporate client, and the ultimate goal is always to create a multimedia advertising campaign. This includes research, strategy, and executions. Ultimately we compile all our work into a plansbook, and pitch our campaign to a panel of judges, including a representative of the client. We operate as similarly to a real ad agency as possible. Participants may receive credit for either ADV 386 or ADV 486. Contact Information Address Contact Email E: aafmsu@gmail.com",aafmsu@gmail.com,aafmsu@gmail.com,,,,,"{""instagram"": ""https://www.instagram.com/msuaaf/"", ""facebook"": ""https://www.facebook.com/MSUAAFCedarBanks"", ""twitter"": null, ""linkedin"": ""https://www.linkedin.com/company/msuaaf-cedar-banks/mycompany/"", ""website"": ""https://aafmsu.wixsite.com/cedarbanks""}",https://aafmsu.wixsite.com/cedarbanks,https://www.instagram.com/msuaaf/,https://www.facebook.com/MSUAAFCedarBanks,,https://www.linkedin.com/company/msuaaf-cedar-banks/mycompany/
e94950f9-6cb4-4a9c-a4da-79016155fe0d,Aviation and Aerospace Medicine Interest Group,aaig,https://msu.campuslabs.com/engage/organization/aaig,"The Aviation and Aerospace Medicine Interest Group (AAMIG) at Michigan State University College of Human Medicine is a student-led organization dedicated to exploring the unique physiological and clinical challenges faced in aviation and space environments. As part of the Midwest Chapter of the Aerospace Medicine Student and Resident Organization (AMSRO), AAMIG aims to build awareness of aerospace medicine through speaker events, educational opportunities, and local community engagement. Our events so far have included a virtual discussion with a practicing flight surgeon and a volunteer initiative with Wings of Mercy, a nonprofit that provides free air transportation to patients in need. We welcome students of all backgrounds who are curious about the intersection of medicine, aviation, and human performance in extreme environments. Contact Information Address Contact Email E: shahabby@msu.edu",shahabby@msu.edu,shahabby@msu.edu,,,,,"{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""website"": ""https://msu.campuslabs.com/engage/organization/aaig/contact""}",https://msu.campuslabs.com/engage/organization/aaig/contact,,,,
a2aa4371-0cd2-4c59-a14b-85f85136be27,Albanian American Student Organization,aasomsu,https://msu.campuslabs.com/engage/organization/aasomsu,"AASO is open to any MSU student who expresses an interest in learning more about the Albanian culture and its purpose. AASO engages through a mix of cultural, social, fundraising, and educational events. This organization will not discriminate on the basis of age, color, gender, gender identity, disability status, height, marital status, national origin, political persuasion, race, religion, sexual orientation, veteran status, or weight. Only MSU students may be officers and/or voting members. Contact Information Address Contact Email E: aaso.spartans@gmail.com",aaso.spartans@gmail.com,aaso.spartans@gmail.com,2022-2023,,,,"{""instagram"": ""https://www.instagram.com/aaso.michstate/"", ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""website"": ""https://msu.campuslabs.com/engage/organization/aasomsu/contact""}",https://msu.campuslabs.com/engage/organization/aasomsu/contact,https://www.instagram.com/aaso.michstate/,,,
2e3009c9-cce6-4ed8-bd54-f83b2871db04,Abide Trinity College-age Ministry,abide,https://msu.campuslabs.com/engage/organization/abide,"A Christ-centered college-age ministry seeking to create space for college-age individuals to belong; connect with God, and with each other. Contact Information Address 3355 Dunckel Rd Lansing, MI 48911 United States of America Contact Email E: emmanuel.boateng@wearetrinity.com Phone Number P: 5172723820",emmanuel.boateng@wearetrinity.com,emmanuel.boateng@wearetrinity.com,5172723820,,,,"{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""website"": ""https://www.wearetrinity.com/abide/""}",https://www.wearetrinity.com/abide/,,,,
b438671d-7870-44a6-875e-9599e7eedb75,Association of Black Social Workers,absws,https://msu.campuslabs.com/engage/organization/absws,Association of Black Social Workers at Michigan State University is a Social work interest based group working towards developing an environment for Black Social work students BSW & MSW level on Michigan State University campus. Contact Information Address Contact Email E: absweboard@gmail.com,absweboard@gmail.com,absweboard@gmail.com,,,,,"{""instagram"": null, ""facebook"": null, ""twitter"": null, ""linkedin"": null, ""website"": ""https://msu.campuslabs.com/engage/organization/absws/contact""}",https://msu.campuslabs.com/engage/organization/absws/contact,,,,
78cfa7cd-1656-4051-91bb-8e9189c609cd,Aspiring Black Women Doctors,abwd,https://msu.campuslabs.com/engage/organization/abwd,"Bringing African American women together on MSU'S campus to discuss the experiences of being a black woman in the medical field. We aim to work together to prepare for medical school by developing programs and events geared towards this. As well as to advocate for the education and advancement of women in the medical field. Contact Information Address 3165 E Michigan Ave Unit 844D Lansing, MI 48912 United States Contact Email E: blakenad@msu.edu Phone Number P: 7342927291",blakenad@msu.edu,blakenad@msu.edu,7342927291,,,,"{""instagram"": null, ""facebook"": ""https://www.facebook.com/Aspiring-Black-Women-Doct"", ""twitter"": null, ""linkedin"": null, ""website"": ""https://aspiringblackwomen.wixsite.com/website""}",https://aspiringblackwomen.wixsite.com/website,,https://www.facebook.com/Aspiring-Black-Women-Doct,,
