slug,name,email,phone,categories,summary,logo_url
engineeringstudentcouncil,Engineering Student Council,presidentesc@egr.msu.edu,,,"Leading and representing the undergraduate student body of the College of Engineering (CoE) through supporting engineering student groups, facilitating CoE discussion, and connecting students/RSOs with resources.",
ees,Environmental Engineering Society,rso.ees@msu.edu,,,"EES is the student chapter of the Air & Waste Management Association (AWMA) at MSU. We are a professional organization that holds presentations on various topics within the broad environmental engineering field. Our club is a great way to hear about hot topics within the environmental engineering, meet professionals within the industry, learn about career opportunities, and create great connections.",
bmesmsu,Biomedical Engineering Society,,,,"Promote the profession of biomedical engineering through the organized effort of this group in the study, research, and discussion of the fields of biomedical engineering, and the dissemination of the knowledge thereby gained.",
ges,Greek Engineering Society,rso.ges@msu.edu,,,"The Greek Engineering Society at Michigan State University is a dynamic organization dedicated to fostering a strong community among engineering students within fraternities and sororities. Our mission is to promote professional development, social engagement, and interdisciplinary collaboration among our members. We offer a unique platform for members to connect with industry professionals, participate in networking events, and develop both technical and soft skills through workshops, guest speakers, and hands-on projects. Our society is open to students from the College of Engineering, Packaging, Data Analytics, IT, and Lyman Briggs, ensuring a diverse and inclusive environment. Membership is by invitation from a regional delegate and requires a minimum 2.5 GPA and active participation in monthly meetings. Through a blend of professional development opportunities and social activities, we aim to prepare our members for successful careers while building lasting friendships and network",
secs,Software Engineering in Computer Science,msusoftwareclub@gmail.com,,,The Software Engineering and Computing Society at MSU is dedicated to espousing and developing good software engineering habits and principles as a skill that can be developed – we hope to find like minded individuals interested in creating awesome solutions using computers to hard problems. Come check us out if that sounds like you!,
beclub,Biosystems Engineering Club,wernick1@msu.edu,,,Club meetings on Mondays 6:30-7:30PM in Farrall 119.,
saes,Society of Applied Engineering Sciences,msusaes@gmail.com,,,"Society of Applied Engineering Sciences (SAES) hosts various meetings with companies and alumni throughout the year. During those meetings, members learn more about that company's internship and full-time opportunities while also making a new connection with that company. Along with that, members gain new insight on what the job market looks like for their major and skills and learn how to be successful in their field. The meetings with alumni give insight on how the transition from college to work looks like in the field. As the Applied Engineering Sciences (AES) major is half engineering and half business, the opportunities are endless. SAES will help students to explore all of the career opportunities that can be given with the AES major. The alumni network for AES is very involved in aiding students to succeed in their job search. Alumni office hours, hosted by SAES, will have AES alumni who are willing to answer any questions that students have about their professional development",
mses,Materials Science and Engineering Society,mses.msu@gmail.com,,,"The Material Science and Engineering Society is a undergraduate-run organization that provides students pursuing MSE with engineering projects, resources for studying, and access to alumni and representatives in industry.",
bmegsa,Biomedical Engineering Graduate Student Association,rso.bme@msu.edu,,,"Primary activities of the BME GSA include graduate student engagement in the BME Department, social and career development events, coordination with BME Department faculty, and graduate student representation in BME Department matters.",
msuaises,American Indian Science and Engineering Society,sorroche@msu.edu,,,"The vision of the American Indian Science and Engineering Society (AISES) is for the next seven generations of Native people to be successful, respected, influential, and contributing members of our vast and ever-changing global community. We will have bi-weekly meetings to promote opportunities that benefit organizational members. The group will also work to attend the national AISES Conference.",
shpemsu,Society of Hispanic Professional Engineers,shpeatmsu.president@gmail.com,,,"The Society of Hispanic Professional Engineers (SHPE) at Michigan State University (MSU) changes lives by empowering the Hispanic community to realize its fullest potential and to impact the world through STEM awareness, access, support and development. MSU SHPE strives to provide the Hispanic community in STEM related fields with opportunities that will improve their academic, leadership, and professional abilities. Regardless of background, we encourage ALL to join!",
swe,"Society of Women Engineers, MSU Chapter",msu.swe.president@gmail.com,,,The Society of Women Engineers is a national organization where we empower women in engineering. At our biweekly meetings we welcome companies to present to us on professional development related topics. We also engage in social and outreach events.,
sase,Society of Asian Scientists and Engineers,spartansase@gmail.com,,,"To prepare Asian heritage scientists and engineers for the professional world, celebrate diversity, and help local communities.",
esw,Engineers for a Sustainable World - Michigan State University,RSO.eswmsu@msu.edu,,,The goal of the Michigan State University (MSU) Chapter of Engineers for a Sustainable World (ESW) is to combine engineering skills with an understanding of environmental issues to create valuable solutions to worldwide problems.,
ascemsu,American Society of Civil Engineers,RSO.msuasce@msu.edu,,,"Welcome to the MSU student chapter of the American Society of Civil Engineers (ASCE). We are a professional club with the goal on introducing students to the many things a Civil Engineer can do through company meetings and networking events. We try to meet a couple times a month with Engineering firms from around the state. If you have interest in joining, please visit our website for membership information.",
ewb,"Engineers Without Borders, MSU",ewb.spartans@gmail.com,,,"EWB-MSU is a student organization that works to implement sustainable engineering designs in developing countries. The mission of EWB-MSU is to improve the quality of life of less fortunate communities. Our student organization is a great opportunity for students to apply classroom knowledge to real-world problems. We currently have an international service project with the community of Buyuni, Tanzania where students plan to design and implement a rainwater catchment system for a local school. Our chapter has also assisted the Detroit Professional chapter with their project in El Balsamar, El Salvador to provide engineering solutions to health & sanitation issues. We do local community service in the East Lansing area every month. We also host an alternate spring break program to aid communities across the USA. The group gives students the opportunity to volunteer, network with professionals, meet new people, develop leadership and problem-solving skills, and improve the world! Our or",
aee,Audio Enthusiasts and Engineers,aeemsu@gmail.com,,,"AEE is a student organization that has a high level of interest in audio equipment and music. Founded in 2006, AEE's members use their skills to research, design, and build personalized audio equipment, as well as creating music.",
ieee,Institute of Electrical and Electronic Engineers,dahmerch@msu.edu,,,"Michigan State University's IEEE (Institute of Electrical and Electronics Engineers) Student Branch is a student community within the world's largest technical professional organization dedicated to advancing technology. Our branch provides students with opportunities to enhance their technical knowledge, develop professional skills, and engage in meaningful networking and collaboration within the field of electrical engineering, computer science, data science, and computer engineering.",
nsbe,National Society of Black Engineers,rso.nsbe@msu.edu,,,"NSBE MSU is a flourishing organization. Our chapter boasts more than 50 members annually and a chapter GPA of +3.0. We strive to be one of the most prominent groups on campus and one of the strongest NSBE chapters in Region IV. We offer a wide range of programs to our membership and the MSU community. Programming efforts focus on academic and technical excellence, professional development, community service, networking, and social activities. Join Today!",
asme,American Society of Mechanical Engineers,RSO.asme@msu.edu,,,"ASME at Michigan State is committed to providing students and faculty with a connection to the engineering profession outside of the classroom. ASME provides a great opportunity to learn about different companies, meet fellow students, and much more.",
msu_asce_geotech,"ASCE Geotech, MSU",dwivedi8@msu.edu,,,"MSU ASCE Geotech is a student-led organization dedicated to fostering interest and advancing knowledge in the field of Geotechnical Engineering. Open to both undergraduate and graduate students, this organization provides a collaborative platform for individuals passionate about geotechnical topics, from soil mechanics to foundations, geotechnical design, and beyond. Through a variety of activities, including guest lectures, hands-on projects, field trips, and participation in regional and national geotechnical competitions, members will have the opportunity to engage with professionals in the industry, enhance their technical skills, and build lasting connections within the geotechnical community. Whether you’re looking to deepen your understanding of geotechnical principles, collaborate on exciting projects, or network with industry leaders, MSU ASCE Geotech offers a supportive environment for all students interested in pursuing careers in Geotechnical Engineering. Join us and help s",
msuite,Institute of Transportation Professionals,itestudent.msu@gmail.com,,,"ITE is a professional group of transportation driven individuals whether it be planning, engineering, data science, and so many others. We hold events for students like networking, social, and work with other groups such as ASCE on such events.",
aiche,American Institute of Chemical Engineers,michiganstateaiche@gmail.com,,,"We are a professional organization for chemical engineering students at MSU. We aim to connect students with employers through company meetings, improve their career profile through resume critiques, and provide an environment to build friendships.",
acm,Association for Computing Machinery,acm@cse.msu.edu,,,"Whether you're completely new to programming or simply can't wait to get out of college, we're here to aid you and your computer science goals. We host tech talks and workshops presented by companies all across the nation; some that have presented in the past include Google, Microsoft, Ford, Quicken Loans, Target, Mozilla, and many more. We have more plans to announce very soon, so please join the ACM Discord server to stay up to date!",
msuwic,"Women in Computing, MSU",msuwic@cse.msu.edu,,,"Women in Computing (WIC) at Michigan State University is a student-led organization dedicated to empowering women and gender-diverse students in technology. Our mission is to foster an inclusive community that supports academic, professional, and personal growth through mentorship, technical workshops, networking opportunities, outreach initiatives, and leadership development. We work to bridge the gender gap in computing by inspiring the next generation of technologists and building meaningful connections with industry partners.",
parc,Precision Agriculture Robotics Club,agrobotics4@gmail.com,,,The Precision Agriculture Robotics Club (PARC) constructs a new fully autonomous robot every year to compete in the robotics competition at the ASABE conference. To do this the club make use of engineering knowledge from a wide variety of disciplines to tackle the unique challenges of the competition for that year.,
msu-starx,STrength Augmenting Robotic eXoskeleton Team,starx@egr.msu.edu,,,"Exo-suits have been popularized by icons such as Iron Man and STARX wishes to make a suit like his into a reality. STARX comprises of engineering students of all backgrounds who specialize in the exo-suit's bio-mechanics, electronics, programming, and actuation. STARX is involved in cutting edge research and allows students to experience enterprise level engineering design opportunities not available in the classroom such as 3D printing, advanced machining and programming, and artificial muscle design and implementation.",
cultivate-network,Cultivate Network,connect@cultivatechurch.network,,,A Church of communities embedded in East Lansing and rooted alongside Michigan State's campus.,
msuformularacing,Society of Automotive Engineers Formula Racing Team,fsae@egr.msu.edu,,,"The MSU Formula Racing Team designs, builds, tests, and competes a brand-new race car from the ground-up every year to compete against over 550 universities worldwide in the world's largest collegiate design series—Formula SAE. The team gives students from all majors, backgrounds, and skill levels the opportunity to apply classroom principles to real-life engineering, project management, and business problem solving scenarios. https://www.youtube.com/watch?v=A5au4JV3m5Q&feature=youtu.be",
marketresearchgroup,Market Research Group,rso.mrg@msu.edu,,,"At the beginning of each meeting, students may propose events they deem worthy of discussing at the next week's meeting. After the meeting, these events will be voted on by the organization's members to determine what we will discuss in the next meeting (2-3 events). Once determined, students will have the rest of the week to look into these events and formulate any questions, comments hypotheses, or more they'd like to bring up. Sector analysts will lead research and give a quick high-level overview of the event before opening the floor to group discussion. Analysts and eboard will help facilitate the conversation while encouraging others to share their thoughts. Students are encouraged to send any quotes, charts, or pictures that they find interesting to the eboard so they can be shown while discussing said topic. Additionally, we will bring in professionals and professors to speak on the issues at hand and share their thoughts. We aim to help improve students' research and interpers",
fwgso,Fisheries and Wildlife Graduate Student Organization,haddock4@msu.edu,,,"The Fisheries and Wildlife GSO operates department activities, enterprises and seminars that help formulate the necessary skills for success.",
baja,Baja SAE,rso.baja@msu.edu,,,"Baja SAE challenges students to design and build an off-road vehicle that will survive the severe punishment of rough terrain. As in real work situations, these students work together as a team to discover and resolve technical challenges in design, testing, and manufacturing. The most rugged of all the SAE competitions, Baja SAE also gives students the first-hand challenge of pursuing their passion while managing real-life demands and priorities. Each team's goal is to design and build a prototype of an all-weather, rugged, single-seat, off-road recreational vehicle that conforms to the rules set in place by SAE. 22-23 Season Recap Video",
rocketry,"Rocketry, Michigan State University",msurocketryteam@gmail.com,,,"Every year members of the MSU Rocketry Team work in specialized sub groups to create the components of a high-powered rocket with which they compete in the Spaceport America Cup, an annual rocketry competition held in Midland, Texas",
